Molecule ChEMBL ID,Standard Type,Standard_Value,Standard Units,canon_smiles
CHEMBL4165406,Ki,320.0,nM,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1cc2cc(C(C)C)c(O)c(O)c2c(C=O)c1O
CHEMBL4175537,Ki,1450.0,nM,CC(=O)OCOC(=O)c1ccc(C(Cl)=CC2C=C(C)CC3CC(CCN=[N+]=[N-])C=CC23C(=O)OCOC(C)=O)cc1
CHEMBL4175138,Ki,23000.0,nM,COC(=O)c1ccc(C(Cl)=CC2C=C(C)CC3CC(CC(=O)Nc4ccc(Cl)cc4)C=CC23C(=O)OC)cc1
CHEMBL1094366,IC50,430.0,nM,Cc1cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c1O
CHEMBL1094250,IC50,1140.0,nM,Cc1cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)NCC(C)c3ccccc3)c(O)c(O)cc2c1O
CHEMBL269836,IC50,41600.0,nM,CC(C)c1cc(C(=O)c2ccccc2)c(O)c(O)c1O
CHEMBL3704822,Ki,360.0,nM,Cc1cc2c(C(=O)Cc3ccccc3)c(O)c(O)cc2c(O)c1-c1c(C)cc2c(C(=O)Cc3ccccc3)c(O)c(O)cc2c1O
CHEMBL3417406,Ki,100000.0,nM,CCOc1ccccc1NN=C1C(=O)N(c2cc(O)cc(-c3cccc(N)c3)c2)N=C1C
CHEMBL452586,IC50,1070.0,nM,CCCCN(CCCC)C(=O)c1cc(C)n(-c2cccc(Cl)c2C(=O)N2Cc3ccccc3CC2CN)n1
CHEMBL51483,Ki,431.0,nM,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
CHEMBL3628075,Ki,10000.0,nM,O=C(O)c1ccc(COc2ccc(C=C3SC(=S)N(c4ccc(F)cc4)C3=O)cc2)cc1
CHEMBL3629836,Ki,2000.0,nM,COc1ccccc1N1C(=O)C(=Cc2ccc(OCc3ccc(C(=O)O)cc3)cc2)SC1=S
CHEMBL3629832,Ki,10000.0,nM,O=C(COc1ccc(C=C2SC(=S)N(c3ccccc3)C2=O)cc1)Nc1ccc(C(=O)O)cc1
CHEMBL264581,AC3,10.0,uM,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(OC5(C)OC6OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C6O5)C(C)CC(C)C4C3(C)C(O)=C3C(=O)OC4(CC(C=O)=CC(OC(C)=O)C4C=C2C)C3=O)CC1(C)[N+](=O)[O-]
CHEMBL437577,Ki,12000.0,nM,CCCC(=C1SC(=S)N(C(Cc2ccccc2)C(=O)O)C1=O)c1ccccc1
CHEMBL4561305,Ki,0.36,nM,NCC1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(c3ccccc3)c3ccc(O)cc3)c3n1CCCC3)OCO2
CHEMBL3972866,Ki,670.0,nM,CC(C)(C)OC(=O)N1CC(Oc2ccc(-c3ccc(Cl)cc3)cc2)CC1C(=O)NC(Cc1ccc(OCCc2ccccc2)cc1)C(=O)NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1
CHEMBL3899305,Ki,680.0,nM,CC(C)(C)OC(=O)N1CC(Oc2ccc(-c3ccccc3)cc2)CC1C(=O)NC(Cc1ccc(OCc2ccc(Br)cc2)cc1)C(=O)NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1
CHEMBL51483,Ki,620.0,nM,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
CHEMBL3137309,IC50,7.39,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL3897719,Ki,188.23,nM,COC(=O)c1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)n1C
CHEMBL3973825,Ki,2.0669999999999997,nM,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cc([N+](=O)[O-])c(NCCCN5CCOCC5)s4)c(Oc4ccc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CHEMBL51483,Ki,467.74,nM,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
CHEMBL402609,Ki,100000.0,nM,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(=O)c2c(O)c(O)cc(C3Oc4cc(O)cc(O)c4CC3OC(=O)c3cc(O)c(O)c(O)c3)c2c1)c1cc(O)c(O)c(O)c1
CHEMBL407807,AC3,3.8,uM,COC(=O)NC1C(C)OC(OC2CC=C(C)C3C=CC4C(OCc5ccc(OC)cc5)C(C)CC(C)C4C3(C)C(O)=C3C(=O)OC4(CC(C=O)=CC(OC(C)=O)C4C=C2C)C3=O)CC1(C)[N+](=O)[O-]
CHEMBL452892,Ki,2.4,nM,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(CC4=C(c5ccc(Cl)cc5)CCOC4)CC3)cc2)cc1[N+](=O)[O-]
CHEMBL4094340,Ki,10000.0,nM,COc1ccc(-c2ccc(Cn3cc(C(=O)NC(Cc4ccc(Br)cc4)C(=O)NS(=O)(=O)c4ccc(Cl)c([N+](=O)[O-])c4)c4ccccc43)cc2)cc1
CHEMBL4086474,Ki,740.0,nM,O=C(NC(Cc1ccccc1)C(=O)NS(=O)(=O)c1ccccc1)c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2ccccc12
CHEMBL4094740,Ki,10000.0,nM,CCCOc1ccc(CC(NC(=O)c2cn(Cc3ccc(-c4ccc(OC)cc4)cc3)c3ccccc23)C(=O)NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1
CHEMBL264938,Ki,235.0,nM,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
CHEMBL379173,IC50,50000.0,nM,CC(C)(C)CC1NC(C(=O)NCCN2CCOCC2)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12
