Molecule ChEMBL ID,Standard_Value,Standard Units,Standard Type,canon_smiles,pIC50
CHEMBL3657019,68.6,nM,IC50,COc1nc(N)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)cn(C)c1=O)C2=O,7.163675884293248
CHEMBL3653190,0.65,nM,IC50,CCc1ccc(C#N)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,9.187086643357144
CHEMBL3653304,1.01,nM,IC50,CCOC(=O)Cc1cnc(OC)c(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cccc(Cl)c2F)C3=O)c1,8.995678626217357
CHEMBL3691740,3.9,nM,IC50,COc1ccccc1-n1nc2c(c1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1OCCN(C)C)C2=O,8.4089353929735
CHEMBL3693983,16.9,nM,IC50,CC(=O)N1CC(NC(=O)C2NC3(CCCCC3)C3(C(=O)Nc4cc(Cl)ccc43)C2c2cccc(Cl)c2F)C1,7.772113295386326
CHEMBL3704500,1000.0,nM,IC50,CC(C)(C)CC1NC(C(N)=O)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12,6.0
CHEMBL3649974,6.0,nM,IC50,CCOC(c1ccccn1)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1,8.221848749616356
CHEMBL3920081,5000.0,nM,IC50,O=C(NC1CCC(O)CC1)C1NC2(CCOCC2)C2(C(=O)Nc3cc(Cl)ccc32)C1c1cccc(Cl)c1F,5.301029995663981
CHEMBL3654192,3.0,nM,IC50,CCOC(c1nc2cc(-c3n[nH]c(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1)C1CCCC1,8.522878745280337
CHEMBL3952705,1.0,nM,IC50,CC1CCC(Cn2c(N3CCOC4CCCC43)nc3cc(-c4nn[nH]n4)nc(-c4cncc(Cl)c4)c32)CC1,9.0
CHEMBL3650067,36.0,nM,IC50,COc1cc2c(cc1OC(C)C)C(c1ccc(Cl)cc1)N(C1CCC(C(C)(O)C3CCOCC3)CC1)C(=O)C2,7.443697499232712
CHEMBL3663839,1000.0,nM,IC50,CC(C)CC(C)(C)CC1NC(C(=O)NCCC(O)CO)C(c2ccc(F)c(Cl)c2)C12C(=O)Nc1cc(F)c(F)cc12,6.0
CHEMBL3663841,3000.0,nM,IC50,CC(C)CC(C)(C)CC1N(C)C(C(=O)NCCC(O)CO)C(c2ccc(F)c(Cl)c2)C12C(=O)Nc1cc(F)c(F)cc12,5.522878745280337
CHEMBL3653315,33.0,nM,IC50,Cc1ncc(Cl)cc1-c1nc(-c2noc(=O)[nH]2)cc2nc(N3CCOC4CCCC43)n(CC3CCC(C)CC3)c12,7.481486060122112
CHEMBL1688256,1400.0,nM,IC50,Cc1ccc(CN2C(=O)c3ccccc3C2(OC2C=CC(O)C2)c2ccc(Cl)cc2)cc1,5.853871964321762
CHEMBL3894230,3.0,nM,IC50,CC1CCC(Cn2c(N3C(C)CN(S(C)(=O)=O)CC3C)nc3cc(-c4nc(=O)o[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,8.522878745280337
CHEMBL3649912,5.0,nM,IC50,CC1CCC(Cn2c(NCc3ccccc3)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,8.301029995663981
CHEMBL3649890,14.0,nM,IC50,CC1CCC(Cn2c(N3C4CCC3C(O)C4)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,7.853871964321762
CHEMBL3691774,0.12,nM,IC50,COc1nc(N(C)C)ncc1-n1nc2c(c1C(C)C)C(c1ccc(C#N)cc1)N(c1cc(Cl)c(=O)n(C)c1)C2=O,9.920818753952375
CHEMBL3656997,0.18,nM,IC50,COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(C#N)cc2C)N(c2cccc(Cl)c2F)C3=O)c(OC)n1,9.744727494896694
CHEMBL3657010,0.15,nM,IC50,COc1ccc(C(=O)N2CCOCC2)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1ccc(F)c(Cl)c1)C2=O,9.823908740944319
CHEMBL3687245,2.9,nM,IC50,CC(=O)N1CCN(C(=O)Cn2nc3c(c2C(C)C)C(c2ccc(Cl)cc2C)N(c2cc(Cl)ccc2C)C3=O)CC1,8.537602002101044
CHEMBL3647070,58.0,nM,IC50,CC1CCC(Cn2c(N3CCCC4CCCC43)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,7.236572006437063
CHEMBL3675228,34000.0,nM,IC50,O=Nc1ccc(CN2C(=O)c3ccc(F)c(Cl)c3C2(O)c2ccc(Cl)cc2)cc1,4.468521082957745
CHEMBL3687232,9.9,nM,IC50,Cc1cc(Cl)ccc1C1c2c(nn(CCc3ccccn3)c2C(C)C)C(=O)N1c1cccc(Cl)c1F,8.00436480540245
CHEMBL3236363,2.1,nM,IC50,CCC(CS(=O)(=O)C(C)(C)C)N1C(=O)C(C)(CC(N)=O)CC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,8.67778070526608
CHEMBL3649877,11.0,nM,IC50,CCN(CCOC)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1,7.958607314841775
CHEMBL3649855,116.0,nM,IC50,Cc1noc(C2CCCN2c2nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c3n2CC2CCC(C)CC2)n1,6.935542010773082
CHEMBL3649881,2.0,nM,IC50,COCC1CCC(COC)N1c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1,8.698970004336019
